epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.63664E+12,2021-11-11T15.04.30.069,7.72,3.323,-3.689,-1.982
1.63664E+12,2021-11-11T15.04.30.109,7.76,3.811,-3.476,-2.835
1.63664E+12,2021-11-11T15.04.30.149,7.8,2.287,-1.402,-1.494
1.63664E+12,2021-11-11T15.04.30.189,7.84,-0.976,0.152,0.335
1.63664E+12,2021-11-11T15.04.30.229,7.88,0.549,-1.067,-0.396
1.63664E+12,2021-11-11T15.04.30.269,7.92,1.555,-0.854,-0.579
1.63664E+12,2021-11-11T15.04.30.309,7.96,-1.037,0.183,0.335
1.63664E+12,2021-11-11T15.04.30.349,8,-0.701,0.213,0.335
1.63664E+12,2021-11-11T15.04.30.389,8.04,2.287,-1.433,-0.457
1.63664E+12,2021-11-11T15.04.30.429,8.08,2.073,-0.976,0.03
1.63664E+12,2021-11-11T15.04.30.469,8.12,-0.091,-0.305,0.518
1.63664E+12,2021-11-11T15.04.30.509,8.16,0.244,-0.183,0.427
1.63664E+12,2021-11-11T15.04.30.549,8.2,0.427,-0.183,-0.152
1.63664E+12,2021-11-11T15.04.30.589,8.24,0.305,0.122,-0.61
1.63664E+12,2021-11-11T15.04.30.629,8.28,0.091,0.488,-1.006
1.63664E+12,2021-11-11T15.04.30.669,8.32,0.549,0.427,-1.25
1.63664E+12,2021-11-11T15.04.30.709,8.36,0.884,0.183,-0.945
1.63664E+12,2021-11-11T15.04.30.749,8.4,-0.03,0.396,-0.183
1.63664E+12,2021-11-11T15.04.30.789,8.44,-0.244,0.732,0.335
1.63664E+12,2021-11-11T15.04.30.829,8.48,1.86,0.274,0.64
1.63664E+12,2021-11-11T15.04.30.869,8.52,3.72,-1.89,0.183
1.63664E+12,2021-11-11T15.04.30.909,8.56,5.305,-2.652,0
1.63664E+12,2021-11-11T15.04.30.949,8.6,3.963,-2.287,-0.061
1.63664E+12,2021-11-11T15.04.30.989,8.64,2.774,-0.915,-0.427
1.63664E+12,2021-11-11T15.04.31.029,8.68,1.829,-0.03,-1.098
1.63664E+12,2021-11-11T15.04.31.069,8.72,1.768,-0.61,-1.921
1.63664E+12,2021-11-11T15.04.31.109,8.76,-0.03,-0.152,-1.707
1.63664E+12,2021-11-11T15.04.31.149,8.8,-0.732,0.64,-0.945
1.63664E+12,2021-11-11T15.04.31.189,8.84,-1.28,-0.061,-0.488
1.63664E+12,2021-11-11T15.04.31.229,8.88,-1.311,-0.03,-0.305
1.63664E+12,2021-11-11T15.04.31.269,8.92,-0.915,0.091,-0.427
1.63664E+12,2021-11-11T15.04.31.309,8.96,0.366,-0.823,-1.037
1.63664E+12,2021-11-11T15.04.31.349,9,0.03,-0.366,-0.823
1.63664E+12,2021-11-11T15.04.31.389,9.04,-0.854,0.122,-0.152
1.63664E+12,2021-11-11T15.04.31.429,9.08,-1.28,0.213,0.091
1.63664E+12,2021-11-11T15.04.31.469,9.12,-0.366,0.183,-0.305
1.63664E+12,2021-11-11T15.04.31.509,9.16,0.183,0.122,-0.488
1.63664E+12,2021-11-11T15.04.31.549,9.2,-0.244,0.305,-0.457
1.63664E+12,2021-11-11T15.04.31.589,9.24,-0.244,0.305,-0.518
1.63664E+12,2021-11-11T15.04.31.629,9.28,-0.061,0.335,-0.488
1.63664E+12,2021-11-11T15.04.31.669,9.32,0.122,0.244,-0.518
1.63664E+12,2021-11-11T15.04.31.709,9.36,0.274,0.03,-0.457
1.63664E+12,2021-11-11T15.04.31.749,9.4,0,-0.03,-0.366
1.63664E+12,2021-11-11T15.04.31.789,9.44,0.061,0,-0.305
1.63664E+12,2021-11-11T15.04.31.829,9.48,0.244,0,-0.305
1.63664E+12,2021-11-11T15.04.31.869,9.52,0.762,-0.244,-0.305
1.63664E+12,2021-11-11T15.04.31.909,9.56,0.274,-0.122,-0.091
1.63664E+12,2021-11-11T15.04.31.949,9.6,-0.762,0.274,0.213
1.63664E+12,2021-11-11T15.04.31.989,9.64,-0.427,0.244,0.091
1.63664E+12,2021-11-11T15.04.32.029,9.68,0.244,0.061,-0.274
1.63664E+12,2021-11-11T15.04.32.069,9.72,-0.03,0.091,-0.396
1.63664E+12,2021-11-11T15.04.32.109,9.76,0,0.274,-0.396
1.63664E+12,2021-11-11T15.04.32.149,9.8,0.213,0.061,-0.427
1.63664E+12,2021-11-11T15.04.32.189,9.84,-0.244,0.122,-0.213
1.63664E+12,2021-11-11T15.04.32.229,9.88,0.274,0.366,-0.183
1.63664E+12,2021-11-11T15.04.32.269,9.92,1.189,0.427,-0.549
1.63664E+12,2021-11-11T15.04.32.309,9.96,0.61,0.335,-0.488
1.63664E+12,2021-11-11T15.04.32.349,10,0.122,0.152,-0.396
1.63664E+12,2021-11-11T15.04.32.389,10.04,0.488,-0.213,-0.335
1.63664E+12,2021-11-11T15.04.32.429,10.08,0.61,-0.244,-0.244
1.63664E+12,2021-11-11T15.04.32.469,10.12,0.396,-0.091,-0.183
1.63664E+12,2021-11-11T15.04.32.509,10.16,-0.488,0.274,0
1.63664E+12,2021-11-11T15.04.32.549,10.2,-0.579,0.274,-0.152
1.63664E+12,2021-11-11T15.04.32.589,10.24,0.061,0.061,-0.305
1.63664E+12,2021-11-11T15.04.32.629,10.28,-0.213,0,-0.152
1.63664E+12,2021-11-11T15.04.32.669,10.32,-0.061,-0.244,-0.091
1.63664E+12,2021-11-11T15.04.32.709,10.36,0.457,-0.396,-0.122
1.63664E+12,2021-11-11T15.04.32.749,10.4,-0.152,-0.122,-0.061
1.63664E+12,2021-11-11T15.04.32.789,10.44,0.244,-0.213,-0.244
1.63664E+12,2021-11-11T15.04.32.829,10.48,0.61,-0.244,-0.396
1.63664E+12,2021-11-11T15.04.32.869,10.52,0,-0.091,-0.244
1.63664E+12,2021-11-11T15.04.32.909,10.56,0.244,-0.183,-0.366
1.63664E+12,2021-11-11T15.04.32.949,10.6,-0.03,0.03,-0.366
1.63664E+12,2021-11-11T15.04.32.989,10.64,0.305,-0.122,-0.366
1.63664E+12,2021-11-11T15.04.33.029,10.68,0.457,-0.213,-0.396
1.63664E+12,2021-11-11T15.04.33.069,10.72,0.274,-0.183,-0.305
1.63664E+12,2021-11-11T15.04.33.109,10.76,0.152,-0.152,-0.305
1.63664E+12,2021-11-11T15.04.33.149,10.8,0.457,-0.183,-0.427
1.63664E+12,2021-11-11T15.04.33.189,10.84,0.305,-0.091,-0.396
1.63664E+12,2021-11-11T15.04.33.229,10.88,0.03,-0.03,-0.305
1.63664E+12,2021-11-11T15.04.33.269,10.92,0.213,-0.061,-0.335
1.63664E+12,2021-11-11T15.04.33.309,10.96,0.213,-0.122,-0.366
1.63664E+12,2021-11-11T15.04.33.349,11,0.152,-0.03,-0.335
1.63664E+12,2021-11-11T15.04.33.389,11.04,0.152,-0.091,-0.366
