epoch (ms),time (-07:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1636311732929,2021-11-07T11:02:12.929,9.200,1.402,0.457,-0.427
1636311732969,2021-11-07T11:02:12.969,9.240,1.189,0.427,-0.183
1636311733009,2021-11-07T11:02:13.009,9.280,1.738,0.091,-0.122
1636311733049,2021-11-07T11:02:13.049,9.320,0.427,0.000,-0.366
1636311733089,2021-11-07T11:02:13.089,9.360,0.640,-0.244,-0.213
1636311733129,2021-11-07T11:02:13.129,9.400,1.555,-0.152,-0.213
1636311733169,2021-11-07T11:02:13.169,9.440,1.250,0.000,-0.427
1636311733209,2021-11-07T11:02:13.209,9.480,1.982,0.061,-0.457
1636311733249,2021-11-07T11:02:13.249,9.520,1.799,0.335,-0.152
1636311733289,2021-11-07T11:02:13.289,9.560,-0.061,-0.152,-0.183
1636311733329,2021-11-07T11:02:13.329,9.600,-0.274,-0.244,-0.213
1636311733369,2021-11-07T11:02:13.369,9.640,0.549,-0.030,-0.274
1636311733409,2021-11-07T11:02:13.409,9.680,0.976,0.091,-0.305
1636311733449,2021-11-07T11:02:13.449,9.720,1.341,-0.183,-0.366
1636311733489,2021-11-07T11:02:13.489,9.760,0.976,-0.274,-0.427
1636311733529,2021-11-07T11:02:13.529,9.800,-0.061,-0.427,-0.427
1636311733569,2021-11-07T11:02:13.569,9.840,0.030,-0.701,-0.244
1636311733609,2021-11-07T11:02:13.609,9.880,-0.915,-0.732,-0.640
1636311733649,2021-11-07T11:02:13.649,9.920,1.098,-0.091,-0.396
1636311733689,2021-11-07T11:02:13.689,9.960,-0.610,-0.244,-0.610
1636311733729,2021-11-07T11:02:13.729,10.000,0.335,-0.122,-0.366
1636311733769,2021-11-07T11:02:13.769,10.040,0.854,-0.274,-0.274
1636311733809,2021-11-07T11:02:13.809,10.080,0.762,-0.244,-0.366
1636311733849,2021-11-07T11:02:13.849,10.120,-0.884,-0.579,-0.793
1636311733889,2021-11-07T11:02:13.889,10.160,1.067,-0.762,-1.189
1636311733929,2021-11-07T11:02:13.929,10.200,1.037,-0.701,-1.280
1636311733969,2021-11-07T11:02:13.969,10.240,0.732,-0.427,-0.793
1636311734009,2021-11-07T11:02:14.009,10.280,1.067,-0.152,-0.518
1636311734049,2021-11-07T11:02:14.049,10.320,1.037,0.030,-0.488
1636311734089,2021-11-07T11:02:14.089,10.360,-0.183,-0.366,-0.823
1636311734129,2021-11-07T11:02:14.129,10.400,0.671,-0.152,-0.793
1636311734169,2021-11-07T11:02:14.169,10.440,0.183,-0.030,-0.549
1636311734209,2021-11-07T11:02:14.209,10.480,-0.152,0.305,-0.366
1636311734249,2021-11-07T11:02:14.249,10.520,-0.396,0.183,-0.427
1636311734289,2021-11-07T11:02:14.289,10.560,-0.457,0.061,-0.427
1636311734329,2021-11-07T11:02:14.329,10.600,0.030,0.030,-0.305
1636311734369,2021-11-07T11:02:14.369,10.640,-0.427,0.000,-0.366
1636311734409,2021-11-07T11:02:14.409,10.680,-0.457,0.091,-0.457
1636311734449,2021-11-07T11:02:14.449,10.720,-0.244,0.122,-0.457
1636311734489,2021-11-07T11:02:14.489,10.760,-0.335,0.152,-0.396
1636311734529,2021-11-07T11:02:14.529,10.800,-0.030,0.152,-0.335
1636311734569,2021-11-07T11:02:14.569,10.840,-0.427,-0.122,-0.335
1636311734609,2021-11-07T11:02:14.609,10.880,-0.762,-0.183,-0.366
1636311734649,2021-11-07T11:02:14.649,10.920,-0.823,-0.183,-0.335
1636311734689,2021-11-07T11:02:14.689,10.960,-0.305,-0.152,-0.427
1636311734729,2021-11-07T11:02:14.729,11.000,0.823,0.061,-0.305
1636311734769,2021-11-07T11:02:14.769,11.040,0.610,0.091,-0.274
1636311734809,2021-11-07T11:02:14.809,11.080,-0.030,0.122,-0.213
1636311734849,2021-11-07T11:02:14.849,11.120,-0.884,-0.091,-0.274
1636311734889,2021-11-07T11:02:14.889,11.160,-0.701,-0.061,-0.274
1636311734929,2021-11-07T11:02:14.929,11.200,-0.915,-0.091,-0.244
1636311734969,2021-11-07T11:02:14.969,11.240,-1.098,-0.183,-0.274
1636311735009,2021-11-07T11:02:15.009,11.280,0.061,-0.030,-0.335
1636311735049,2021-11-07T11:02:15.049,11.320,0.396,0.030,-0.427
1636311735089,2021-11-07T11:02:15.089,11.360,-0.366,0.061,-0.366
1636311735129,2021-11-07T11:02:15.129,11.400,-0.213,0.274,-0.274
1636311735169,2021-11-07T11:02:15.169,11.440,-0.488,0.061,-0.274
1636311735209,2021-11-07T11:02:15.209,11.480,-0.518,-0.061,-0.396
1636311735249,2021-11-07T11:02:15.249,11.520,0.305,0.061,-0.396
1636311735289,2021-11-07T11:02:15.289,11.560,0.976,0.213,-0.366
1636311735329,2021-11-07T11:02:15.329,11.600,1.311,0.213,-0.366
1636311735369,2021-11-07T11:02:15.369,11.640,-0.610,-0.518,-1.128
1636311735409,2021-11-07T11:02:15.409,11.680,0.244,-0.701,-1.372
1636311735449,2021-11-07T11:02:15.449,11.720,1.982,-0.854,-0.884
1636311735489,2021-11-07T11:02:15.489,11.760,1.006,-0.366,-0.823
1636311735529,2021-11-07T11:02:15.529,11.800,1.006,-0.030,-0.610
1636311735569,2021-11-07T11:02:15.569,11.840,0.549,-0.305,-0.884
1636311735609,2021-11-07T11:02:15.609,11.880,0.701,-0.244,-0.793
1636311735649,2021-11-07T11:02:15.649,11.920,1.006,-0.030,-0.640
1636311735689,2021-11-07T11:02:15.689,11.960,0.152,0.213,-0.640
1636311735729,2021-11-07T11:02:15.729,12.000,-0.122,0.274,-0.518
1636311735769,2021-11-07T11:02:15.769,12.040,0.000,0.274,-0.488
1636311735809,2021-11-07T11:02:15.809,12.080,-0.579,0.427,-0.518
1636311735849,2021-11-07T11:02:15.849,12.120,-0.732,0.366,-0.579
1636311735889,2021-11-07T11:02:15.889,12.160,-0.762,0.305,-0.457
1636311735929,2021-11-07T11:02:15.929,12.200,-1.494,0.244,-0.610
1636311735969,2021-11-07T11:02:15.969,12.240,-0.427,0.274,-0.427
1636311736009,2021-11-07T11:02:16.009,12.280,0.000,0.305,-0.335
1636311736049,2021-11-07T11:02:16.049,12.320,-0.396,0.457,-0.366
1636311736089,2021-11-07T11:02:16.089,12.360,-0.396,0.244,-0.427
1636311736129,2021-11-07T11:02:16.129,12.400,0.579,0.274,-0.335
1636311736169,2021-11-07T11:02:16.169,12.440,0.793,0.457,-0.305
1636311736209,2021-11-07T11:02:16.209,12.480,0.579,0.518,-0.427
1636311736249,2021-11-07T11:02:16.249,12.520,0.854,0.549,-0.549
1636311736289,2021-11-07T11:02:16.289,12.560,0.915,0.518,-0.518
1636311736329,2021-11-07T11:02:16.329,12.600,0.579,0.488,-0.579
1636311736369,2021-11-07T11:02:16.369,12.640,0.000,0.427,-0.549
1636311736409,2021-11-07T11:02:16.409,12.680,-0.061,0.366,-0.427
1636311736449,2021-11-07T11:02:16.449,12.720,-0.518,0.213,-0.427
1636311736489,2021-11-07T11:02:16.489,12.760,-0.701,0.030,-0.396
1636311736529,2021-11-07T11:02:16.529,12.800,-0.183,0.335,-0.396
1636311736569,2021-11-07T11:02:16.569,12.840,-0.457,0.640,-0.518
1636311736609,2021-11-07T11:02:16.609,12.880,-0.793,0.610,-0.427
1636311736649,2021-11-07T11:02:16.649,12.920,-0.579,0.366,-0.305
1636311736689,2021-11-07T11:02:16.689,12.960,-0.061,0.274,-0.335
1636311736729,2021-11-07T11:02:16.729,13.000,0.244,0.183,-0.396
1636311736769,2021-11-07T11:02:16.769,13.040,0.610,0.061,-0.305
1636311736809,2021-11-07T11:02:16.809,13.080,1.098,-0.061,-0.183
1636311736849,2021-11-07T11:02:16.849,13.120,0.823,0.030,-0.305
1636311736889,2021-11-07T11:02:16.889,13.160,-0.793,-0.030,-0.366
1636311736929,2021-11-07T11:02:16.929,13.200,-0.274,0.030,-0.183
1636311736969,2021-11-07T11:02:16.969,13.240,0.305,0.122,-0.213
1636311737009,2021-11-07T11:02:17.009,13.280,0.213,0.091,-0.305
1636311737049,2021-11-07T11:02:17.049,13.320,0.427,0.152,-0.274
1636311737089,2021-11-07T11:02:17.089,13.360,0.640,0.183,-0.335
1636311737129,2021-11-07T11:02:17.129,13.400,-0.122,0.183,-0.427
1636311737169,2021-11-07T11:02:17.169,13.440,-0.793,0.152,-0.457
1636311737209,2021-11-07T11:02:17.209,13.480,-0.091,0.183,-0.366
1636311737249,2021-11-07T11:02:17.249,13.520,-0.213,0.152,-0.335
1636311737289,2021-11-07T11:02:17.289,13.560,-0.579,0.030,-0.335
1636311737329,2021-11-07T11:02:17.329,13.600,-0.427,0.091,-0.274
1636311737369,2021-11-07T11:02:17.369,13.640,-0.976,0.030,-0.366
1636311737409,2021-11-07T11:02:17.409,13.680,-0.457,0.091,-0.305
1636311737449,2021-11-07T11:02:17.449,13.720,0.000,0.122,-0.305
1636311737489,2021-11-07T11:02:17.489,13.760,-0.183,0.122,-0.305
1636311737529,2021-11-07T11:02:17.529,13.800,0.030,0.122,-0.427
1636311737569,2021-11-07T11:02:17.569,13.840,-0.122,0.366,-0.457
1636311737609,2021-11-07T11:02:17.609,13.880,-0.915,0.518,-0.518
1636311737649,2021-11-07T11:02:17.649,13.920,-0.518,0.244,-0.488
1636311737689,2021-11-07T11:02:17.689,13.960,0.213,0.061,-0.427
1636311737729,2021-11-07T11:02:17.729,14.000,0.183,-0.030,-0.366
1636311737769,2021-11-07T11:02:17.769,14.040,-0.061,0.305,-0.183
1636311737809,2021-11-07T11:02:17.809,14.080,-1.311,0.091,-0.213
1636311737849,2021-11-07T11:02:17.849,14.120,-1.616,-0.061,-0.335
1636311737889,2021-11-07T11:02:17.889,14.160,-0.305,0.244,-0.396
