epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1636388998972,2021-11-08T18:29:58.972,12.880,0.111,-0.093,-0.989
1636388999012,2021-11-08T18:29:59.012,12.920,0.114,-0.091,-0.991
1636388999052,2021-11-08T18:29:59.052,12.960,0.115,-0.095,-0.990
1636388999092,2021-11-08T18:29:59.092,13.000,0.117,-0.093,-0.990
1636388999132,2021-11-08T18:29:59.132,13.040,0.115,-0.093,-0.990
1636388999172,2021-11-08T18:29:59.172,13.080,0.112,-0.093,-0.990
1636388999212,2021-11-08T18:29:59.212,13.120,0.113,-0.093,-0.990
1636388999252,2021-11-08T18:29:59.252,13.160,0.114,-0.091,-0.994
1636388999292,2021-11-08T18:29:59.292,13.200,0.113,-0.093,-0.991
1636388999332,2021-11-08T18:29:59.332,13.240,0.113,-0.089,-0.986
1636388999372,2021-11-08T18:29:59.372,13.280,0.117,-0.096,-0.991
1636388999412,2021-11-08T18:29:59.412,13.320,0.117,-0.094,-0.992
1636388999452,2021-11-08T18:29:59.452,13.360,0.114,-0.094,-0.990
1636388999492,2021-11-08T18:29:59.492,13.400,0.113,-0.092,-0.990
1636388999532,2021-11-08T18:29:59.532,13.440,0.113,-0.090,-0.990
1636388999572,2021-11-08T18:29:59.572,13.480,0.114,-0.090,-0.991
1636388999612,2021-11-08T18:29:59.612,13.520,0.112,-0.096,-0.993
1636388999652,2021-11-08T18:29:59.652,13.560,0.115,-0.092,-0.990
1636388999692,2021-11-08T18:29:59.692,13.600,0.115,-0.089,-0.988
1636388999732,2021-11-08T18:29:59.732,13.640,0.114,-0.097,-0.992
1636388999772,2021-11-08T18:29:59.772,13.680,0.114,-0.096,-0.993
1636388999812,2021-11-08T18:29:59.812,13.720,0.110,-0.092,-0.990
1636388999852,2021-11-08T18:29:59.852,13.760,0.113,-0.094,-0.989
1636388999892,2021-11-08T18:29:59.892,13.800,0.117,-0.090,-0.991
1636388999932,2021-11-08T18:29:59.932,13.840,0.115,-0.093,-0.992
1636388999972,2021-11-08T18:29:59.972,13.880,0.113,-0.094,-0.990
1636389000012,2021-11-08T18:30:00.012,13.920,0.112,-0.093,-0.990
1636389000052,2021-11-08T18:30:00.052,13.960,0.113,-0.095,-0.990
1636389000092,2021-11-08T18:30:00.092,14.000,0.114,-0.094,-0.991
1636389000132,2021-11-08T18:30:00.132,14.040,0.115,-0.095,-0.991
1636389000172,2021-11-08T18:30:00.172,14.080,0.113,-0.095,-0.990
1636389000212,2021-11-08T18:30:00.212,14.120,0.113,-0.094,-0.991
